Date,Open,High,Low,Close,Adj Close,Volume
03/09/2010,9.110357,9.242143,9.089286,9.241786,7.986192,520788800
07/09/2010,9.165714,9.268929,9.151786,9.2075,7.956563,342557600
08/09/2010,9.277857,9.4425,9.253572,9.39,8.114268,526551200
09/09/2010,9.465714,9.518572,9.39,9.395357,8.118896,438575200
10/09/2010,9.399643,9.446428,9.335714,9.4075,8.129388,387542400
13/09/2010,9.493571,9.581429,9.491428,9.537143,8.24142,388780000
14/09/2010,9.5075,9.613214,9.482857,9.573571,8.272898,408150400
15/09/2010,9.5775,9.656428,9.565714,9.650714,8.339559,429368800
16/09/2010,9.651428,9.881071,9.625,9.8775,8.535535,652103200
17/09/2010,9.9175,9.927143,9.774285,9.834642,8.498499,634477200
20/09/2010,9.86,10.135,9.851786,10.115357,8.741076,658677600
21/09/2010,10.137857,10.2625,10.099643,10.134643,8.757742,668074400
22/09/2010,10.096786,10.285,10.086071,10.276786,8.880573,585289600
23/09/2010,10.226071,10.455714,10.214286,10.318571,8.916681,786116800
24/09/2010,10.432143,10.483214,10.376785,10.44,9.021612,649488000
27/09/2010,10.499286,10.526072,10.393214,10.398571,8.985811,482834800
28/09/2010,10.420357,10.420357,9.821428,10.245,8.853107,1035042400
29/09/2010,10.258214,10.350357,10.214286,10.263214,8.868847,469644000
30/09/2010,10.321428,10.357142,10.044642,10.133928,8.757125,673391600
01/10/2010,10.219643,10.235,10.048214,10.09,8.719163,448142800
04/10/2010,10.057143,10.103572,9.920357,9.951428,8.599421,435302000
05/10/2010,10.071428,10.3375,10.065,10.319285,8.917298,501967200
06/10/2010,10.3425,10.428214,10.187857,10.328215,8.925013,670868800
07/10/2010,10.369286,10.374286,10.246786,10.329286,8.925941,408399600
08/10/2010,10.418214,10.517858,10.357142,10.5025,9.075621,658403200
11/10/2010,10.526428,10.615714,10.521428,10.548572,9.115436,427753200
12/10/2010,10.550357,10.696428,10.446072,10.662143,9.213575,558544000
13/10/2010,10.721429,10.784286,10.707143,10.719286,9.262955,630092400
14/10/2010,10.774643,10.8025,10.728572,10.796785,9.329926,435296400
15/10/2010,10.98,11.25,10.889643,11.240714,9.71354,922194000
18/10/2010,11.373929,11.392858,11.224643,11.357142,9.814152,1093010800
19/10/2010,10.835714,11.206072,10.715,11.053214,9.551516,1232784000
20/10/2010,11.035714,11.223214,10.959642,11.090357,9.583611,721624400
21/10/2010,11.155714,11.240714,10.957143,11.054286,9.552444,551460000
22/10/2010,11.038215,11.072857,10.939285,10.981071,9.489175,372778000
25/10/2010,11.038929,11.128572,11.015715,11.03,9.531454,392462000
26/10/2010,10.959642,11.062143,10.916072,11.001785,9.507076,392929600
27/10/2010,10.9875,11.067857,10.914286,10.993929,9.500285,399002800
28/10/2010,10.998215,11,10.746428,10.901428,9.42035,551051200
29/10/2010,10.865357,10.924286,10.745358,10.749286,9.288879,430511200
01/11/2010,10.793571,10.914286,10.792857,10.863571,9.387636,423889200
02/11/2010,10.964286,11.078215,10.964286,11.048572,9.547504,433930000
03/11/2010,11.120358,11.174286,11.018929,11.171429,9.653669,508348400
04/11/2010,11.266071,11.435,11.251071,11.366786,9.822487,642488000
05/11/2010,11.356786,11.413215,11.3125,11.326072,9.787304,361253200
08/11/2010,11.328571,11.420357,11.312857,11.379286,9.833287,281758400
09/11/2010,11.466071,11.475,11.232142,11.288571,9.754896,383544000
10/11/2010,11.308572,11.384643,11.198215,11.358214,9.81508,384227200
11/11/2010,11.25,11.371428,11.223214,11.308928,9.772487,361284000
12/11/2010,11.285714,11.303572,10.843928,11.001071,9.506455,795846800
15/11/2010,11.016429,11.090714,10.938214,10.965714,9.475905,403606000
16/11/2010,10.918571,10.985714,10.69,10.771071,9.307703,657650000
17/11/2010,10.757143,10.856786,10.634286,10.732142,9.274068,479449600
18/11/2010,10.9,11.059643,10.881785,11.015357,9.5188,494491200
19/11/2010,10.998929,11.014286,10.901428,10.954643,9.466335,384843200
22/11/2010,10.952857,11.191428,10.923928,11.191428,9.670953,393075200
23/11/2010,11.0875,11.133928,10.948571,11.026072,9.528057,519447600
24/11/2010,11.142858,11.264286,11.133928,11.242857,9.715391,413725200
26/11/2010,11.205,11.346429,11.176429,11.25,9.721566,237585600
29/11/2010,11.267858,11.338572,11.120714,11.316786,9.779278,445785200
30/11/2010,11.197857,11.227143,11.1025,11.1125,9.602749,501858000
01/12/2010,11.259643,11.348214,11.25,11.3,9.764775,461750800
02/12/2010,11.340357,11.392858,11.246072,11.3625,9.818781,462837200
03/12/2010,11.321786,11.380357,11.297857,11.337143,9.796867,342092800
06/12/2010,11.38,11.511786,11.372143,11.433928,9.880506,448481600
07/12/2010,11.564285,11.571072,11.361428,11.364643,9.820631,391454000
08/12/2010,11.415358,11.465,11.325357,11.464643,9.907048,321935600
09/12/2010,11.504642,11.517858,11.393572,11.42,9.868472,294151200
10/12/2010,11.416072,11.466071,11.378572,11.448571,9.89316,262511200
13/12/2010,11.584642,11.609285,11.464286,11.488214,9.92742,439815600
14/12/2010,11.490357,11.519286,11.392858,11.438929,9.884824,351008000
15/12/2010,11.428572,11.535714,11.399643,11.441428,9.886986,417312000
16/12/2010,11.4675,11.521786,11.432143,11.473214,9.914455,322030800
17/12/2010,11.486786,11.4925,11.436786,11.450357,9.894701,386929200
20/12/2010,11.485714,11.544642,11.365357,11.5075,9.944082,385610400
21/12/2010,11.535714,11.585357,11.501785,11.578571,10.005497,256354000
22/12/2010,11.584286,11.632857,11.555357,11.612857,10.035123,265921600
23/12/2010,11.607142,11.6125,11.541785,11.557143,9.986981,223157200
27/12/2010,11.530357,11.622857,11.482857,11.595715,10.020309,249816000
28/12/2010,11.639643,11.666429,11.609285,11.623929,10.044692,175924000
29/12/2010,11.650714,11.658929,11.610714,11.6175,10.039138,163139200
30/12/2010,11.624286,11.625357,11.5375,11.559286,9.98883,157494400
31/12/2010,11.533929,11.552857,11.475357,11.52,9.954883,193508000
03/01/2011,11.63,11.795,11.601429,11.770357,10.171227,445138400
04/01/2011,11.872857,11.875,11.719643,11.831786,10.224311,309080800
05/01/2011,11.769643,11.940714,11.767858,11.928572,10.307948,255519600
06/01/2011,11.954286,11.973214,11.889286,11.918928,10.299613,300428800
07/01/2011,11.928214,12.0125,11.853572,12.004286,10.373374,311931200
10/01/2011,12.101071,12.258214,12.041785,12.230357,10.56873,448560000
11/01/2011,12.317142,12.32,12.123929,12.201428,10.543734,444108000
12/01/2011,12.258928,12.301071,12.214286,12.300714,10.629529,302590400
13/01/2011,12.327143,12.38,12.280357,12.345715,10.668415,296780400
14/01/2011,12.353214,12.445714,12.301429,12.445714,10.754829,308840000
18/01/2011,11.768572,12.312857,11.642858,12.166072,10.513179,1880998000
19/01/2011,12.441072,12.45,12.031428,12.101429,10.45732,1135612800
20/01/2011,12.015357,12.082143,11.79,11.881429,10.267206,764789200
21/01/2011,11.920357,11.96,11.665358,11.668571,10.08327,754401200
24/01/2011,11.673928,12.051785,11.668571,12.051785,10.414419,574683200
25/01/2011,12.011786,12.194285,11.948929,12.192857,10.536324,546868000
26/01/2011,12.248571,12.342857,12.196428,12.280357,10.611938,506875600
27/01/2011,12.277857,12.310357,12.243929,12.2575,10.592186,285026000
28/01/2011,12.291785,12.3,11.911786,12.003572,10.372755,592057200
31/01/2011,11.992857,12.144286,11.939285,12.118571,10.472136,377246800
01/02/2011,12.189285,12.344643,12.177857,12.3225,10.648356,426633200
02/02/2011,12.301785,12.330358,12.269643,12.297143,10.626443,258955200
03/02/2011,12.278571,12.294286,12.091071,12.265715,10.599289,393797600
04/02/2011,12.272857,12.382143,12.268214,12.375,10.693722,321840400
07/02/2011,12.424643,12.616072,12.415714,12.567142,10.859759,485021600
08/02/2011,12.631429,12.697143,12.576786,12.685715,10.962224,381040800
09/02/2011,12.685357,12.821428,12.673928,12.791429,11.053575,482745200
10/02/2011,12.763928,12.857142,12.428572,12.662143,10.941851,928550000
11/02/2011,12.669642,12.778571,12.626429,12.744643,11.013146,367572800
14/02/2011,12.7425,12.838572,12.739643,12.827857,11.085055,310416400
15/02/2011,12.828215,12.856071,12.769643,12.853572,11.107273,284174800
16/02/2011,12.885715,13.032143,12.875,12.968928,11.20696,481157600
17/02/2011,12.758928,12.866786,12.732857,12.796429,11.057897,530583200
18/02/2011,12.811071,12.839286,12.482857,12.52,10.819026,816057200
22/02/2011,12.219643,12.335714,12.061429,12.093214,10.450218,872555600
23/02/2011,12.098928,12.308572,12.093214,12.236428,10.573977,671854400
24/02/2011,12.286428,12.326786,12.084642,12.245714,10.582002,499900800
25/02/2011,12.330714,12.443929,12.314285,12.434286,10.744951,380018800
28/02/2011,12.544286,12.680357,12.54,12.614643,10.900808,403074000
01/03/2011,12.695357,12.704286,12.417143,12.475357,10.780445,456136800
02/03/2011,12.498571,12.655357,12.442857,12.575714,10.867167,602590800
03/03/2011,12.756785,12.849643,12.711429,12.841429,11.096785,500788400
04/03/2011,12.859643,12.8675,12.776786,12.857142,11.110359,453266800
07/03/2011,12.907143,12.916785,12.546785,12.691428,10.967158,546123200
08/03/2011,12.675357,12.764286,12.580358,12.705714,10.979506,356316800
09/03/2011,12.6675,12.67,12.521428,12.588214,10.877969,453306000
10/03/2011,12.468572,12.491786,12.317857,12.381071,10.698971,507539200
11/03/2011,12.333215,12.582857,12.321428,12.571072,10.863155,471080400
14/03/2011,12.613571,12.731428,12.546785,12.627143,10.911613,435957200
15/03/2011,12.217857,12.422857,12.146428,12.336785,10.6607,721081200
16/03/2011,12.214286,12.25,11.652143,11.786072,10.184807,1162011200
17/03/2011,12.029643,12.128928,11.809286,11.951428,10.327694,659422400
18/03/2011,12.040358,12.078571,11.785714,11.809643,10.205176,753214000
21/03/2011,11.999643,12.133572,11.973572,12.117857,10.471513,409402000
22/03/2011,12.234285,12.236428,12.112143,12.185715,10.530156,325922800
23/03/2011,12.117143,12.150714,11.998215,12.113929,10.46812,372996400
24/03/2011,12.208928,12.357142,12.102143,12.320357,10.646504,404712000
25/03/2011,12.431071,12.573571,12.393572,12.555,10.849267,448910000
28/03/2011,12.6125,12.654285,12.515715,12.515715,10.81532,309355200
29/03/2011,12.416429,12.534286,12.359285,12.534286,10.831367,352900800
30/03/2011,12.522857,12.531428,12.408571,12.451072,10.75946,329406000
31/03/2011,12.37,12.492857,12.359285,12.446786,10.755758,274019200
01/04/2011,12.539643,12.556786,12.260715,12.305715,10.633851,418661600
04/04/2011,12.296785,12.307143,12.085714,12.185357,10.529843,460084800
05/04/2011,12.035357,12.223214,12,12.103214,10.458863,482731200
06/04/2011,12.186429,12.282143,12.040714,12.072857,10.43263,402539200
07/04/2011,12.075,12.158215,12.001071,12.074286,10.433864,373447200
